Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.1624,109.8668,4.2282,1.2095,0.0000
4.3536,111.0138,3.9694,1.0846,0.0000
4.1948,110.0152,4.2391,1.2611,0.0000
4.2115,110.0053,4.3542,1.1658,0.0000
4.4164,110.8281,4.2684,1.2111,0.0000
4.3920,111.3713,4.0085,1.2327,0.0000
4.1911,110.8983,4.2981,1.2666,0.0000
4.1763,110.7856,4.3955,1.1994,0.0000
4.2843,111.0516,4.2760,1.2457,0.0000
4.3157,111.3081,4.0842,1.3141,0.0000
4.2292,109.9692,4.2298,1.2441,0.0000
4.2287,111.0216,4.4102,1.2255,0.0000
4.2019,110.4065,4.3172,1.2273,0.0000
4.3228,111.1931,4.0144,1.2197,0.0000
4.1940,109.9219,4.2807,1.2531,0.0000
4.2123,110.1504,4.4466,1.2000,0.0000
4.5151,110.5973,4.3514,1.1604,0.0000
4.3242,110.0826,4.0150,1.3162,0.0000
4.2294,110.9292,4.3181,1.2863,0.0000
4.1771,111.0739,4.4476,1.2823,0.0000
4.5181,110.5817,4.3545,1.2832,0.0000
4.4786,111.2101,4.1303,1.2482,0.0000
4.1811,110.9161,4.3802,1.2751,0.0000
4.1789,111.0441,4.4062,1.2029,0.0000
4.2235,110.9947,4.3547,1.2577,0.0000
4.3108,111.0175,4.0681,1.3361,0.0000
4.2742,111.1141,4.2068,1.3881,0.0000
4.1781,111.2401,4.3329,1.2290,0.0000
4.7604,110.5536,4.3188,1.2361,0.0000
4.3572,110.7290,4.0478,1.3085,0.0000
4.2144,111.0714,4.2384,1.3000,0.0000
4.1662,110.6150,4.4130,1.4295,0.0000
4.4796,110.6428,4.3727,1.3599,0.0000
4.3923,110.8326,4.0365,1.4525,0.0000
4.2181,111.1471,4.2919,1.4460,0.0000
4.2116,111.3054,4.5048,1.3896,0.0000
4.5987,110.9874,4.3207,1.3708,0.0000
4.4126,110.7288,4.0645,1.3467,0.0000
4.2341,110.8575,4.2825,1.4139,0.0000
4.1704,110.9956,4.4513,1.3521,0.0000
4.2933,109.8714,4.2968,1.3300,0.0000
4.3950,110.8715,4.1676,1.3510,0.0000
4.3337,111.1255,4.2928,1.4227,0.0000
4.2673,110.6156,4.4025,1.3969,0.0000
4.2503,110.8714,4.3091,1.5078,0.0000
4.3350,111.3392,4.0491,1.3456,0.0000
4.2695,110.9152,4.2887,1.4249,0.0000
4.2054,110.2028,4.3480,1.3242,0.0000
4.1844,110.7220,4.3370,1.3669,0.0000
4.3315,112.7828,4.0211,1.3532,0.0000
4.1838,110.9953,4.2352,1.3586,0.0000
4.1689,110.2866,4.9047,1.7964,0.0000
4.2295,112.0405,4.3019,1.3575,0.0000
4.3103,111.3857,4.1921,1.4622,0.0000
4.2575,111.0191,4.3343,1.3814,0.0000
4.2621,110.7873,4.4848,1.3516,0.0000
4.4299,111.0104,4.3285,1.4233,0.0000
4.3202,111.4204,4.0938,1.4223,0.0000
4.2082,111.2613,4.4095,1.4535,0.0000
4.1618,111.1503,4.4565,1.4187,0.0000
4.1935,110.9534,4.4432,1.3747,0.0000
4.3096,111.1116,4.1433,1.4713,0.0000
4.1598,111.5865,4.5218,1.4820,0.0000
4.1501,111.6723,4.5010,1.3899,0.0000
4.1870,109.7661,4.4184,1.4166,0.0000
4.3649,111.0811,4.2004,1.4735,0.0000
4.2173,110.0381,4.4078,1.5262,0.0000
4.1973,111.7581,4.6331,1.5025,0.0000
4.1688,110.7648,4.4363,1.5020,0.0000
4.3927,112.1222,4.1550,1.4801,0.0000
4.2411,110.8894,4.4353,1.4775,0.0000
4.2336,111.5620,4.5950,1.3967,0.0000
4.2123,110.8719,4.4041,1.4185,0.0000
4.2774,111.0479,4.1002,1.6379,0.0000
4.1789,111.9756,4.2845,1.4638,0.0000
4.2083,111.0007,4.4490,1.4131,0.0000
4.3272,109.9320,4.3301,1.4418,0.0000
4.4067,112.1944,4.0596,1.4362,0.0000
4.2628,110.7676,4.3398,1.4489,0.0000
4.2235,111.9091,4.5074,1.3841,0.0000
4.3975,111.4662,4.4809,1.3855,0.0000
